name,pos_x,pos_y,pos_z,x,y,z,w
grasp_up,0.164,0.007,0.544,0.03,0.998,-0.057,0.023
grasp_up1,0.386,-0.036,0.436,0.029,0.999,-0.012,-0.01
grasp,0.379,-0.043,0.125,0.029,0.999,-0.011,-0.01
grasp_mid,0.062,0.344,0.498,0.03,0.999,-0.013,-0.009
grasp_mid1,-0.152,-0.235,0.538,0.729,-0.684,0.028,0.009
grasp_mid2,-0.257,0.012,0.513,0.03,0.999,-0.012,-0.007
grasp_mid2_down,-0.263,0.003,0.146,0.03,0.999,-0.012,-0.008
grasp_put,-0.224,0.018,-0.319,0.03,0.999,-0.012,-0.007
