time,x,y,z
0.0,0.576,0.002,0.434
0.1,0.4541,0.0172,0.5442
0.2,0.362,0.0365,0.6288
0.3,0.2973,0.0622,0.6892
0.4,0.2571,0.0963,0.7266
0.5,0.239,0.141,0.7421
0.6,0.2403,0.1984,0.737
0.7,0.2585,0.2707,0.7126
0.8,0.2909,0.36,0.6699
0.9,0.3349,0.4683,0.6103
1.0,0.388,0.598,0.535
